Player,Team,Position,GS,MIN,PPG,RPG,APG,FGM,FGA,FG%,3PM,3PA
Josh Giddey,OKC,SG,80,25.2,12.3,6.4,4.8,5,10.6,47.5,1,3
Luguentz Dort,OKC,SF,79,28.4,10.9,3.6,1.4,3.6,8.3,43.8,2,5
Shai Gilgeous-Alexander,OKC,PG,75,34,30.1,5.5,6.2,10.6,19.8,53.5,1.3,3.6
Anthony Black,ORL,PG,33,16.9,4.6,2,1.3,1.7,3.6,46.6,0.5,1.4
Franz Wagner,ORL,SF,72,32.5,19.7,5.3,3.7,7.3,15.2,48.2,1.3,4.6
Jalen Suggs,ORL,SG,75,27,12.6,3.1,2.7,4.5,9.5,47.1,2,5.1
Paolo Banchero,ORL,PF,80,35,22.6,6.9,5.4,8,17.6,45.5,1.5,4.4
Wendell Carter Jr.,ORL,C,48,25.6,11,6.9,1.7,4.1,7.7,52.5,1.2,3.1
De'Anthony Melton,PHI,SG,33,26.9,11.1,3.7,3,3.7,9.5,38.6,2,5.6
Kelly Oubre Jr.,PHI,SF,52,30.2,15.4,5,1.5,5.7,12.9,44.1,1.5,4.8
Joel Embiid,PHI,C,39,33.6,34.7,11,5.6,11.5,21.8,52.9,1.4,3.6
Tobias Harris,PHI,PF,70,33.8,17.2,6.5,3.1,6.6,13.6,48.7,1.3,3.7
Tyrese Maxey,PHI,PG,70,37.5,25.9,3.7,6.2,9,20,45,2.8,7.5
Bradley Beal,PHO,SG,53,33.3,18.2,4.4,5,7.1,13.9,51.3,1.9,4.4
Devin Booker,PHO,PG,68,36,27.1,4.5,6.9,9.4,19.2,49.2,2.2,6.1
Grayson Allen,PHO,SG,74,33.5,13.5,3.9,3,4.5,9.1,49.9,2.7,5.9
Kevin Durant,PHO,PF,75,37.2,27.1,6.6,5,10,19.2,52.3,2.2,5.4
Jusuf Nurkić,PHO,C,76,27.3,10.9,11,4,4.2,8.3,51,0.3,1.2
Anfernee Simons,POR,SG,46,34.4,22.6,3.6,5.5,7.8,18.2,43,3.4,8.8
Deandre Ayton,POR,C,55,32.4,16.7,11.1,1.6,7.8,13.6,57,0,0.2
Jabari Walker,POR,SF,23,23.6,8.9,7.1,1,3.3,7.1,46,0.6,1.9
Jerami Grant,POR,PF,54,33.9,21,3.5,2.8,7.1,15.7,45.1,2.1,5.1
Scoot Henderson,POR,PG,32,28.5,14,3.1,5.4,5,12.9,38.5,1.4,4.3
